video_path,time_offset,label,bounding_box,x,y
/videos/video_001.mp4,0.0,ball,"0,258,378,258,378,498,0,498",84,189.0
/videos/video_001.mp4,1.0,ball,"0,278,318,278,318,518,0,518",54,199.0
/videos/video_001.mp4,2.0,ball,"0,284,304,284,304,524,0,524",47,202.0
/videos/video_001.mp4,3.0,ball,"0,252,312,252,312,492,0,492",51,186.0
/videos/video_001.mp4,4.0,ball,"0,218,366,218,366,458,0,458",78,169.0
/videos/video_001.mp4,5.0,ball,"0,206,392,206,392,446,0,446",91,163.0
/videos/video_001.mp4,6.0,ball,"30,162,450,162,450,402,30,402",120,141.0
/videos/video_001.mp4,7.0,ball,"106,146,526,146,526,386,106,386",158,133.0
/videos/video_001.mp4,8.0,ball,"62,132,482,132,482,372,62,372",136,126.0
/videos/video_001.mp4,9.0,ball,"158,124,578,124,578,364,158,364",184,122.0
/videos/video_001.mp4,10.0,ball,"94,126,514,126,514,366,94,366",152,123.0
/videos/video_001.mp4,11.0,ball,"0,156,394,156,394,396,0,396",92,138.0
/videos/video_001.mp4,12.0,ball,"12,166,432,166,432,406,12,406",111,143.0
/videos/video_001.mp4,13.0,ball,"28,148,448,148,448,388,28,388",119,134.0
/videos/video_001.mp4,14.0,ball,"62,144,482,144,482,384,62,384",136,132.0
/videos/video_001.mp4,15.0,ball,"206,126,626,126,626,366,206,366",208,123.0
/videos/video_001.mp4,16.0,ball,"182,130,602,130,602,370,182,370",196,125.0
/videos/video_001.mp4,17.0,ball,"140,150,560,150,560,390,140,390",175,135.0
/videos/video_001.mp4,18.0,ball,"128,162,548,162,548,402,128,402",169,141.0
/videos/video_001.mp4,19.0,ball,"104,154,524,154,524,394,104,394",157,137.0
/videos/video_001.mp4,20.0,ball,"0,232,418,232,418,472,0,472",104,176.0
/videos/video_001.mp4,21.0,ball,"0,276,396,276,396,516,0,516",93,198.0
/videos/video_001.mp4,22.0,ball,"0,298,362,298,362,538,0,538",76,209.0
/videos/video_001.mp4,23.0,ball,"0,290,358,290,358,530,0,530",74,205.0
/videos/video_001.mp4,24.0,ball,"0,232,364,232,364,472,0,472",77,176.0
/videos/video_001.mp4,25.0,ball,"0,270,330,270,330,510,0,510",60,195.0
/videos/video_001.mp4,26.0,ball,"0,286,314,286,314,526,0,526",52,203.0
/videos/video_001.mp4,27.0,ball,"0,328,298,328,298,568,0,568",44,224.0
/videos/video_001.mp4,28.0,ball,"0,376,286,376,286,616,0,616",38,248.0
/videos/video_001.mp4,29.0,ball,"0,428,286,428,286,668,0,668",38,274.0
/videos/video_001.mp4,30.0,ball,"0,388,280,388,280,628,0,628",35,254.0
/videos/video_001.mp4,31.0,ball,"0,380,270,380,270,620,0,620",30,250.0
/videos/video_001.mp4,32.0,ball,"0,356,264,356,264,596,0,596",27,238.0
/videos/video_001.mp4,33.0,ball,"0,366,252,366,252,606,0,606",21,243.0
/videos/video_001.mp4,34.0,ball,"0,360,258,360,258,600,0,600",24,240.0
/videos/video_001.mp4,35.0,ball,"0,346,278,346,278,586,0,586",34,233.0
/videos/video_001.mp4,36.0,ball,"0,346,260,346,260,586,0,586",25,233.0
/videos/video_001.mp4,37.0,ball,"0,320,280,320,280,560,0,560",35,220.0
/videos/video_001.mp4,38.0,ball,"0,264,324,264,324,504,0,504",57,192.0
/videos/video_001.mp4,39.0,ball,"0,260,320,260,320,500,0,500",55,190.0
/videos/video_001.mp4,40.0,ball,"0,174,394,174,394,414,0,414",92,147.0
/videos/video_001.mp4,41.0,ball,"0,176,410,176,410,416,0,416",100,148.0
/videos/video_001.mp4,42.0,ball,"0,184,408,184,408,424,0,424",99,152.0
/videos/video_001.mp4,43.0,ball,"50,166,470,166,470,406,50,406",130,143.0
/videos/video_001.mp4,44.0,ball,"0,172,418,172,418,412,0,412",104,146.0
/videos/video_001.mp4,45.0,ball,"34,148,454,148,454,388,34,388",122,134.0
/videos/video_001.mp4,46.0,ball,"0,216,384,216,384,456,0,456",87,168.0
/videos/video_001.mp4,47.0,ball,"16,164,436,164,436,404,16,404",113,142.0
/videos/video_001.mp4,48.0,ball,"12,168,432,168,432,408,12,408",111,144.0
/videos/video_001.mp4,49.0,ball,"18,200,438,200,438,440,18,440",114,160.0
/videos/video_001.mp4,50.0,ball,"44,156,464,156,464,396,44,396",127,138.0
/videos/video_001.mp4,51.0,ball,"46,160,466,160,466,400,46,400",128,140.0
/videos/video_001.mp4,52.0,ball,"62,156,482,156,482,396,62,396",136,138.0
/videos/video_001.mp4,53.0,ball,"54,152,474,152,474,392,54,392",132,136.0
/videos/video_001.mp4,54.0,ball,"38,226,458,226,458,466,38,466",124,173.0
/videos/video_001.mp4,55.0,ball,"0,306,350,306,350,546,0,546",70,213.0
/videos/video_001.mp4,56.0,ball,"0,334,296,334,296,574,0,574",43,227.0
/videos/video_001.mp4,57.0,ball,"0,212,378,212,378,452,0,452",84,166.0
/videos/video_001.mp4,58.0,ball,"0,278,330,278,330,518,0,518",60,199.0
/videos/video_001.mp4,59.0,ball,"0,306,318,306,318,546,0,546",54,213.0
/videos/video_001.mp4,60.0,ball,"0,302,346,302,346,542,0,542",68,211.0
/videos/video_001.mp4,61.0,ball,"0,306,396,306,396,546,0,546",93,213.0
/videos/video_001.mp4,62.0,ball,"38,310,458,310,458,550,38,550",124,215.0
/videos/video_001.mp4,63.0,ball,"254,250,674,250,674,490,254,490",232,185.0
/videos/video_001.mp4,64.0,ball,"488,164,908,164,908,404,488,404",349,142.0
/videos/video_001.mp4,65.0,ball,"360,204,780,204,780,444,360,444",285,162.0
/videos/video_001.mp4,66.0,ball,"18,410,438,410,438,650,18,650",114,265.0
/videos/video_001.mp4,67.0,ball,"0,432,348,432,348,672,0,672",69,276.0
/videos/video_001.mp4,68.0,ball,"0,386,360,386,360,626,0,626",75,253.0
/videos/video_001.mp4,69.0,ball,"0,316,396,316,396,556,0,556",93,218.0
/videos/video_001.mp4,70.0,ball,"54,228,474,228,474,468,54,468",132,174.0
/videos/video_001.mp4,71.0,ball,"54,168,474,168,474,408,54,408",132,144.0
/videos/video_001.mp4,72.0,ball,"66,168,486,168,486,408,66,408",138,144.0
/videos/video_001.mp4,73.0,ball,"50,148,470,148,470,388,50,388",130,134.0
/videos/video_001.mp4,74.0,ball,"22,146,442,146,442,386,22,386",116,133.0
/videos/video_001.mp4,75.0,ball,"24,146,444,146,444,386,24,386",117,133.0
/videos/video_001.mp4,76.0,ball,"20,144,440,144,440,384,20,384",115,132.0
/videos/video_001.mp4,77.0,ball,"20,156,440,156,440,396,20,396",115,138.0
/videos/video_001.mp4,78.0,ball,"30,144,450,144,450,384,30,384",120,132.0
/videos/video_001.mp4,79.0,ball,"0,176,402,176,402,416,0,416",96,148.0
/videos/video_001.mp4,80.0,ball,"4,164,424,164,424,404,4,404",107,142.0
/videos/video_001.mp4,81.0,ball,"42,156,462,156,462,396,42,396",126,138.0
/videos/video_001.mp4,82.0,ball,"124,122,544,122,544,362,124,362",167,121.0
/videos/video_001.mp4,83.0,ball,"388,68,808,68,808,308,388,308",299,94.0
/videos/video_001.mp4,84.0,ball,"410,66,830,66,830,306,410,306",310,93.0
/videos/video_001.mp4,85.0,ball,"412,66,832,66,832,306,412,306",311,93.0
/videos/video_001.mp4,86.0,ball,"422,70,842,70,842,310,422,310",316,95.0
/videos/video_001.mp4,87.0,ball,"388,74,808,74,808,314,388,314",299,97.0
/videos/video_001.mp4,88.0,ball,"386,72,806,72,806,312,386,312",298,96.0
/videos/video_001.mp4,89.0,ball,"320,78,740,78,740,318,320,318",265,99.0
/videos/video_001.mp4,90.0,ball,"406,106,826,106,826,346,406,346",308,113.0
/videos/video_001.mp4,91.0,ball,"152,144,572,144,572,384,152,384",181,132.0
/videos/video_001.mp4,92.0,ball,"174,140,594,140,594,380,174,380",192,130.0
/videos/video_001.mp4,93.0,ball,"198,140,618,140,618,380,198,380",204,130.0
/videos/video_001.mp4,94.0,ball,"254,152,674,152,674,392,254,392",232,136.0
/videos/video_001.mp4,95.0,ball,"378,152,798,152,798,392,378,392",294,136.0
/videos/video_001.mp4,96.0,ball,"326,156,746,156,746,396,326,396",268,138.0
/videos/video_001.mp4,97.0,ball,"206,150,626,150,626,390,206,390",208,135.0
/videos/video_001.mp4,98.0,ball,"106,166,526,166,526,406,106,406",158,143.0
/videos/video_001.mp4,99.0,ball,"14,208,434,208,434,448,14,448",112,164.0
/videos/video_001.mp4,100.0,ball,"0,204,404,204,404,444,0,444",97,162.0
/videos/video_001.mp4,101.0,ball,"0,194,392,194,392,434,0,434",91,157.0
/videos/video_001.mp4,102.0,ball,"42,168,462,168,462,408,42,408",126,144.0
/videos/video_001.mp4,103.0,ball,"28,148,448,148,448,388,28,388",119,134.0
/videos/video_001.mp4,104.0,ball,"18,156,438,156,438,396,18,396",114,138.0
/videos/video_001.mp4,105.0,ball,"20,154,440,154,440,394,20,394",115,137.0
/videos/video_001.mp4,106.0,ball,"22,146,442,146,442,386,22,386",116,133.0
/videos/video_001.mp4,107.0,ball,"2,164,422,164,422,404,2,404",106,142.0
/videos/video_001.mp4,108.0,ball,"202,92,622,92,622,332,202,332",206,106.0
/videos/video_001.mp4,109.0,ball,"252,84,672,84,672,324,252,324",231,102.0
/videos/video_001.mp4,110.0,ball,"280,84,700,84,700,324,280,324",245,102.0
/videos/video_001.mp4,111.0,ball,"318,86,738,86,738,326,318,326",264,103.0
/videos/video_001.mp4,112.0,ball,"362,106,782,106,782,346,362,346",286,113.0
/videos/video_001.mp4,113.0,ball,"394,152,814,152,814,392,394,392",302,136.0
/videos/video_001.mp4,114.0,ball,"370,150,790,150,790,390,370,390",290,135.0
/videos/video_001.mp4,115.0,ball,"304,170,724,170,724,410,304,410",257,145.0
/videos/video_001.mp4,116.0,ball,"294,172,714,172,714,412,294,412",252,146.0
/videos/video_001.mp4,117.0,ball,"310,82,730,82,730,322,310,322",260,101.0
/videos/video_001.mp4,118.0,ball,"360,74,780,74,780,314,360,314",285,97.0
/videos/video_001.mp4,119.0,ball,"364,64,784,64,784,304,364,304",287,92.0
/videos/video_001.mp4,120.0,ball,"386,68,806,68,806,308,386,308",298,94.0
/videos/video_001.mp4,121.0,ball,"418,74,838,74,838,314,418,314",314,97.0
/videos/video_001.mp4,122.0,ball,"466,76,886,76,886,316,466,316",338,98.0
/videos/video_001.mp4,123.0,ball,"576,80,996,80,996,320,576,320",393,100.0
/videos/video_001.mp4,124.0,ball,"602,88,1022,88,1022,328,602,328",406,104.0
/videos/video_001.mp4,125.0,ball,"600,86,1020,86,1020,326,600,326",405,103.0
/videos/video_001.mp4,126.0,ball,"506,70,926,70,926,310,506,310",358,95.0
/videos/video_001.mp4,127.0,ball,"476,68,896,68,896,308,476,308",343,94.0
/videos/video_001.mp4,128.0,ball,"490,72,910,72,910,312,490,312",350,96.0
/videos/video_001.mp4,129.0,ball,"430,88,850,88,850,328,430,328",320,104.0
/videos/video_001.mp4,130.0,ball,"304,106,724,106,724,346,304,346",257,113.0
/videos/video_001.mp4,131.0,ball,"238,106,658,106,658,346,238,346",224,113.0
/videos/video_001.mp4,132.0,ball,"166,112,586,112,586,352,166,352",188,116.0
/videos/video_001.mp4,133.0,ball,"136,112,556,112,556,352,136,352",173,116.0
/videos/video_001.mp4,134.0,ball,"50,140,470,140,470,380,50,380",130,130.0
/videos/video_001.mp4,135.0,ball,"4,162,424,162,424,402,4,402",107,141.0
/videos/video_001.mp4,136.0,ball,"26,152,446,152,446,392,26,392",118,136.0
/videos/video_001.mp4,137.0,ball,"0,180,402,180,402,420,0,420",96,150.0
/videos/video_001.mp4,138.0,ball,"78,140,498,140,498,380,78,380",144,130.0
/videos/video_001.mp4,139.0,ball,"170,156,590,156,590,396,170,396",190,138.0
/videos/video_001.mp4,140.0,ball,"230,156,650,156,650,396,230,396",220,138.0
/videos/video_001.mp4,141.0,ball,"314,148,734,148,734,388,314,388",262,134.0
/videos/video_001.mp4,142.0,ball,"414,144,834,144,834,384,414,384",312,132.0
/videos/video_001.mp4,143.0,ball,"670,328,1090,328,1090,568,670,568",440,224.0
/videos/video_001.mp4,144.0,ball,"858,556,1278,556,1278,720,858,720",534,338.0
/videos/video_001.mp4,145.0,ball,"914,484,1280,484,1280,720,914,720",562,302.0
/videos/video_001.mp4,146.0,ball,"934,426,1280,426,1280,666,934,666",572,273.0
/videos/video_001.mp4,147.0,ball,"910,412,1280,412,1280,652,910,652",560,266.0
/videos/video_001.mp4,148.0,ball,"868,348,1280,348,1280,588,868,588",539,234.0
